status,approach,model_slug,device_profile,prompt_strategy,runs_expected,runs_completed,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,latency_median_ms_mean,latency_median_ms_std,latency_p95_ms_mean,latency_p95_ms_std
completed,llm_http,phi-4-mini-instruct,gpu,three-shot,3,3,0.06778602830414872,0.016779500647025863,0.07062334217506631,0.013496772173108506,0.06778261772261544,0.007819483527843094,0.6821225277375783,0.01354624577330891,253.58759833333335,292.6848113347531,2546.2672362666663,268.0555499896445
completed,llm_http,phi-4-mini-instruct,gpu,zero-shot,1,1,0.08722856091277144,,0.07858090185676393,,0.08267922553636839,,0.7004341534008683,,663.0168189999999,,2946.8437004,
completed,llm_http,qwen3-0.6b,gpu,one-shot,3,3,0.034232821913133635,0.015246126004199516,0.04962422634836428,0.0013804151190093706,0.03914490123214446,0.009633947492280392,0.6417366136034732,0.03478322360200528,355.4189255,245.84544964199986,1014.7278602166665,126.45610864617271
completed,llm_http,qwen3-0.6b,gpu,three-shot,3,3,0.037728930416966275,0.013589828250453172,0.06675508399646331,0.006311357884734405,0.047702776220257835,0.012521342503917492,0.6321080559575494,0.03533079727918517,445.1968905,272.06160870783776,1041.5562486333333,75.68395667022807
completed,llm_http,qwen3-0.6b,gpu,zero-shot,1,1,0.11139240506329114,,0.04376657824933687,,0.06284218043323019,,0.6831837916063676,,99.98272,,127.68954439999999,
completed,llm_http,qwen3-1.7b,gpu,one-shot,3,3,0.09276444843858331,0.01171710971330245,0.08355437665782493,0.01673335925854846,0.08772214488174693,0.014246909478594598,0.7038301977809938,0.007916438469306541,263.8809111666667,47.663353619944495,990.3075261166665,176.2519496229483
completed,llm_http,qwen3-1.7b,gpu,three-shot,3,3,0.09254340421268194,0.0025934040449984374,0.1225685234305924,0.009058057687737786,0.10542233884377024,0.004967258931209751,0.6920405209840811,0.007050831827998897,366.82094183333334,11.229713345667212,1085.7086850666667,133.812107555974
completed,llm_http,qwen3-1.7b,gpu,zero-shot,1,1,0.06013639181649101,,0.03216180371352785,,0.0419096997191618,,0.6989290882778582,,155.330703,,660.0610070999996,
completed,llm_http,qwen3-14b,gpu,one-shot,3,3,0.42470374055611226,0.06881352873118855,0.379973474801061,0.037802770933515084,0.4007836448896947,0.05183345845292702,0.8105740472744815,0.013025288077552532,1269.5120361666666,25.70603418757091,3827.837821816666,313.9048139455475
completed,llm_http,qwen3-14b,gpu,three-shot,3,3,0.47738959024726524,0.006624012611796781,0.4890583554376658,0.020684978727430015,0.48302958884890235,0.011694644443879609,0.834693680656054,0.0016056068741120899,1669.3677793333334,33.76028773877412,4078.058872216666,122.51516673237774
completed,llm_http,qwen3-14b,gpu,zero-shot,1,1,0.3602914389799636,,0.32791777188328913,,0.3433431695886131,,0.789985528219971,,1192.4308995000001,,3863.928133499999,
completed,llm_http,qwen3-4b,gpu,one-shot,3,3,0.13404110765238533,0.04667066901555494,0.14456233421750664,0.04795557721953496,0.13905132481428825,0.047293839054933146,0.7191895803183792,0.01308965903701626,545.131438,77.3548500105112,1634.8562299333332,88.91452542439309
completed,llm_http,qwen3-4b,gpu,three-shot,3,3,0.1857358170169147,0.03579913335007649,0.21706454465075153,0.02884869446213958,0.2000525436636195,0.032911308045543174,0.7328509406657019,0.0074106818963885065,629.2681126666666,31.378362109037436,1734.0070110166655,70.80938711611505
