status,approach,model_slug,device_profile,runtime_device,runtime_dtype,gpu_name,prompt_strategy,seed,examples_evaluated,precision,recall,f1,accuracy,tp,fp,fn,successful_requests,failed_requests,valid_json_requests,schema_valid_requests,truncated_requests,parse_failures,rejected_prediction_reasons,finish_reasons,error_taxonomy,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,requests_per_second,scoring_protocol,latency_protocol
completed,llm_http,gemma-3-4b-it,gpu,cuda,,,zero-shot,fixed,1000,0.11166833834837847,0.11074270557029178,0.1112035958048943,0.7096382054992764,334,2657,2682,1000,0,958,389,42,"{""invalid_json"": 42}","{""invalid_label"": 40, ""missing_fields"": 1, ""out_of_range_indices"": 169, ""text_mismatch"": 1185}","{""length"": 42, ""stop"": 958}","{""boundary_and_label_error"": 252, ""boundary_error"": 304, ""label_error"": 147, ""missing_entity"": 1979, ""rejected_prediction"": 1395, ""spurious_prediction"": 559}",748.1467664039999,599.6492685000001,1379.5696478,2571.401952949999,3110.50733029,1.336636131980552,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,phi-4-mini-instruct,gpu,cuda,,,one-shot,1771,1000,0.04067443073179211,0.07758620689655173,0.05336982552172426,0.6461939218523879,234,5519,2782,1000,0,955,152,45,"{""invalid_json"": 45}","{""invalid_label"": 307, ""missing_fields"": 31, ""non_integer_indices"": 9, ""out_of_range_indices"": 5, ""overlapping_prediction"": 2, ""text_mismatch"": 3613}","{""length"": 45, ""stop"": 955}","{""boundary_and_label_error"": 278, ""boundary_error"": 246, ""label_error"": 102, ""missing_entity"": 2156, ""rejected_prediction"": 3967, ""spurious_prediction"": 926}",1116.0442522750004,1002.913484,2180.0394355,2782.1726824999996,2995.65434793,0.8960218180968631,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,phi-4-mini-instruct,gpu,cuda,,,one-shot,2401,1000,0.0484903934126258,0.05271883289124669,0.05051628276409849,0.6820260492040521,159,3120,2857,1000,0,978,463,22,"{""invalid_json"": 22}","{""invalid_label"": 270, ""missing_fields"": 11, ""non_integer_indices"": 3, ""out_of_range_indices"": 7, ""overlapping_prediction"": 1, ""text_mismatch"": 1992}","{""length"": 22, ""stop"": 978}","{""boundary_and_label_error"": 146, ""boundary_error"": 153, ""label_error"": 80, ""missing_entity"": 2478, ""rejected_prediction"": 2284, ""spurious_prediction"": 457}",662.1532943020005,396.3857405,1773.1290915,2292.4414979999992,3010.33002457,1.510224306977338,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,phi-4-mini-instruct,gpu,cuda,,,one-shot,42,1000,0.06533776301218161,0.07824933687002653,0.0712130356065178,0.6913458755426918,236,3376,2780,1000,0,933,497,65,"{""invalid_json"": 67}","{""invalid_label"": 403, ""missing_fields"": 12, ""non_integer_indices"": 7, ""out_of_range_indices"": 9, ""text_mismatch"": 1671}","{""length"": 65, ""stop"": 933}","{""boundary_and_label_error"": 193, ""boundary_error"": 222, ""label_error"": 97, ""missing_entity"": 2268, ""rejected_prediction"": 2102, ""spurious_prediction"": 762}",817.8235637450007,371.98300200000006,2451.04542,2994.63079845,3013.9549907600003,1.2227576268660834,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,phi-4-mini-instruct,gpu,cuda,,,three-shot,1771,1000,0.055376501611485496,0.0626657824933687,0.05879608026131591,0.6819681620839363,189,3224,2827,1000,0,967,578,33,"{""invalid_json"": 33}","{""invalid_label"": 152, ""missing_fields"": 29, ""non_integer_indices"": 14, ""out_of_range_indices"": 7, ""overlapping_prediction"": 1, ""text_mismatch"": 1934}","{""length"": 33, ""stop"": 967}","{""boundary_and_label_error"": 178, ""boundary_error"": 188, ""label_error"": 88, ""missing_entity"": 2373, ""rejected_prediction"": 2137, ""spurious_prediction"": 633}",738.6990948749994,85.107663,2136.5998222000003,2661.7275721499996,3147.98162759,1.353731183560225,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,phi-4-mini-instruct,gpu,cuda,,,three-shot,2401,1000,0.06110458284371328,0.08620689655172414,0.07151698528400495,0.6686541244573082,260,3995,2756,1000,0,969,468,31,"{""invalid_json"": 31}","{""invalid_label"": 266, ""missing_fields"": 12, ""non_integer_indices"": 6, ""out_of_range_indices"": 1, ""text_mismatch"": 2341}","{""length"": 31, ""stop"": 969}","{""boundary_and_label_error"": 212, ""boundary_error"": 183, ""label_error"": 91, ""missing_entity"": 2270, ""rejected_prediction"": 2626, ""spurious_prediction"": 883}",862.5379683940002,591.5504115,2187.9663828000007,2737.2446496499997,3111.9247286400005,1.1593692528827997,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,phi-4-mini-instruct,gpu,cuda,,,three-shot,42,1000,0.08687700045724737,0.0629973474801061,0.07303478762252547,0.6957452966714905,190,1997,2826,1000,0,984,758,16,"{""invalid_json"": 16}","{""invalid_label"": 179, ""non_integer_indices"": 3, ""text_mismatch"": 909}","{""length"": 16, ""stop"": 984}","{""boundary_and_label_error"": 164, ""boundary_error"": 186, ""label_error"": 80, ""missing_entity"": 2396, ""rejected_prediction"": 1091, ""spurious_prediction"": 476}",482.33402597799983,84.1047205,1790.3784071000002,2239.829486999999,3146.12235299,2.073252033116179,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,phi-4-mini-instruct,gpu,cuda,,,zero-shot,fixed,1000,0.08722856091277144,0.07858090185676393,0.08267922553636839,0.7004341534008683,237,2480,2779,1000,0,905,295,95,"{""invalid_json"": 95}","{""duplicate_prediction"": 2, ""invalid_label"": 86, ""out_of_range_indices"": 10, ""text_mismatch"": 1489}","{""length"": 95, ""stop"": 905}","{""boundary_and_label_error"": 176, ""boundary_error"": 190, ""label_error"": 106, ""missing_entity"": 2307, ""rejected_prediction"": 1587, ""spurious_prediction"": 421}",1047.384694971999,663.0168189999999,2816.0308387000005,2946.8437004,2961.20612536,0.954759034383956,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,qwen3-0.6b,gpu,cuda,,,one-shot,1771,1000,0.02221241541629891,0.05006631299734748,0.03077236600774404,0.6083936324167872,151,6647,2865,1000,0,793,52,208,"{""invalid_json"": 207}","{""invalid_label"": 235, ""out_of_range_indices"": 14, ""text_mismatch"": 3454}","{""length"": 208, ""stop"": 792}","{""boundary_and_label_error"": 337, ""boundary_error"": 265, ""label_error"": 268, ""missing_entity"": 1995, ""rejected_prediction"": 3703, ""spurious_prediction"": 2074}",648.6365284110004,597.3165735,1075.3406629,1099.7976055,1131.91132543,1.5416954738114326,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,qwen3-0.6b,gpu,cuda,,,one-shot,2401,1000,0.029104051740536426,0.05072944297082228,0.036987791611265565,0.6390159189580319,153,5104,2863,1000,0,890,131,110,"{""invalid_json"": 110}","{""invalid_label"": 172, ""out_of_range_indices"": 5, ""text_mismatch"": 2788}","{""length"": 110, ""stop"": 890}","{""boundary_and_label_error"": 250, ""boundary_error"": 225, ""label_error"": 191, ""missing_entity"": 2197, ""rejected_prediction"": 2965, ""spurious_prediction"": 1473}",461.6661358130004,363.13295949999997,1046.1862083,1074.9718825,1101.7884969400002,2.166067472631464,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
