status,approach,model_slug,device_profile,prompt_strategy,seed,component,count,mean_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,client_e2e,1000,1574.0071325119984,1236.3276165000002,3102.0763979999997,3751.9801763,5350.432716619999,203.880935,8122.021164
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,client_generation_after_first_token,1000,1432.2688267390008,1097.950403,2951.4749511,3598.453594949999,5198.117193089999,80.31243600000002,7966.417358
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,client_output_tokens_per_second,1000,41.10704856986515,43.6680221613621,46.23298178943537,46.540203108118206,46.93186294858924,20.323453782693893,47.27887212385501
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,client_ttft,1000,141.73830577299995,139.983994,152.58535519999998,153.58026075,155.34224777999998,122.47519,165.729757
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_decode,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_generation,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_inference,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_queue,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,42,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,client_e2e,1000,1204.730153105999,640.5031939999999,2897.2601429,3639.8619820999993,5289.4956258600005,134.446608,7906.131528
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,client_generation_after_first_token,1000,1136.6917894820008,572.097472,2828.5401138,3555.1615693499994,5213.84240695,80.35888399999999,7823.080634
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,client_output_tokens_per_second,1000,44.83502928596707,45.50212034477728,47.98057960999084,48.10700218168882,48.27199993172942,30.046205355057058,48.405184489689624
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,client_ttft,1000,68.0383636240001,67.244135,73.76451720000001,83.22346049999999,84.20933564,52.315213,87.537217
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_decode,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_generation,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_inference,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_queue,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,fixed,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,client_e2e,1000,1192.0873478869996,971.1785950000001,2472.1072984000007,3120.9759364,3128.0854069699994,232.295855,3131.006912
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,client_generation_after_first_token,1000,1149.4925631630006,930.0339335,2430.214717800001,3078.07101185,3085.3828948500004,190.099054,3088.505578
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,client_output_tokens_per_second,1000,119.52482063435095,120.6527955881503,122.7563477786136,122.8865640973474,123.02684072436878,107.45459366453734,123.16545910658584
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,client_ttft,1000,42.59478472400001,42.2272665,44.506622,45.22617665,47.0723408,40.129566,53.271592
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_decode,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_generation,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_inference,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_queue,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,1771,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,client_e2e,1000,614.2419633659991,476.0711655,1178.4818165000001,1452.5482620999996,2177.5792026099994,71.973436,3135.573769
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,client_generation_after_first_token,1000,571.1181291180001,433.353257,1133.8562369,1409.9389280499997,2135.9546314899994,29.831551999999995,3091.480176
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,client_output_tokens_per_second,1000,112.49457283644006,115.84457971943712,120.56070725834473,121.32082793897683,122.1564010892372,60.4880795234362,122.8068287440704
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,client_ttft,1000,43.12383424800001,42.8137445,44.8963793,45.81267605,47.56275485,40.651954,52.360618
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_decode,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_generation,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_inference,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_queue,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,2401,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,client_e2e,1000,649.8340009829994,481.9529605,1207.3503246,1596.0428008999997,2839.7407335099997,71.771453,3134.199141
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,client_generation_after_first_token,1000,607.1527977789998,439.8244605,1165.4857517000003,1553.1793839499996,2796.80580046,30.24362,3089.787961
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,client_output_tokens_per_second,1000,115.19879999301749,116.22354086435081,120.85770024458307,121.63024371297391,122.54576547794052,66.11829300498742,122.90885065999854
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,client_ttft,1000,42.68120320399994,42.305221,44.3528244,45.17968745,47.70759451,40.416906,54.708443
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_decode,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_generation,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_inference,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_queue,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,42,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,client_e2e,1000,936.293645665,801.2612165,1720.2251716,2201.7971100499994,3172.9513062,241.497074,3181.338913
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,client_generation_after_first_token,1000,884.1786743519999,749.6050935000001,1662.8774747,2144.721641899999,3120.43327256,192.329437,3123.5899299999996
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,client_output_tokens_per_second,1000,115.67298778190937,116.75011194906693,119.77639767763038,120.23801900307923,120.79124999586533,102.25499002919773,121.13000810492555
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,client_ttft,1000,52.114971312999984,51.5723995,55.620619100000006,57.295052150000004,58.31998729999999,48.477135,61.259998
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_decode,0,,,,,,,
